date,base_mom6_top20,recommended_daily50_cash
2025-05-16,154124.11699307532,62284.95593422581
2025-05-19,155122.56088097687,62688.44913680838
2025-05-20,155592.75618617472,62878.46543299935
2025-05-21,153661.3491161804,62097.941225674585
2025-05-22,152974.1511150382,61820.22935257978
2025-05-23,152717.17255120713,61716.378645522826
2025-05-27,154685.9005340887,62511.98505711229
2025-05-28,153782.5517472277,62146.92188283047
2025-05-29,153081.62170684204,61863.66058972372
2025-05-30,154094.15193826685,62272.846394494285
2025-06-02,155764.26981466837,62947.77787417508
2025-06-03,159157.30878484368,64318.97977861146
2025-06-04,158798.57969810854,64174.00944044804
2025-06-05,160747.2458963766,64961.508442275874
2025-06-06,160128.6340133281,64711.51373263678
2025-06-09,160553.1294707106,64883.06171210413
2025-06-10,158816.5392441102,64181.26728920745
2025-06-11,160077.61893090827,64690.897412345774
2025-06-12,160689.45674304533,64938.15457048127
2025-06-13,159239.19459960138,64352.07164290453
2025-06-16,162334.86964258432,65603.10222397535
2025-06-17,162070.81541094978,65496.39208345698
2025-06-18,162586.8047070274,65704.91474166088
2025-06-20,162975.3562217453,65861.93698090893
2025-06-23,164062.06475124063,66301.09987243747
2025-06-24,165813.62782738786,67008.94515416419
2025-06-25,165749.53575188795,66983.04413246734
2025-06-26,168428.5298643913,68065.68475679493
2025-06-27,169440.66763093518,68474.71195784863
2025-06-30,171567.76285879794,69334.31806700342
2025-07-01,167983.1257837262,67885.68714137698
2025-07-02,169057.86592698007,68320.01334398107
2025-07-03,170373.86620314184,68851.838088929
2025-07-07,169627.3724281906,68550.16348546573
2025-07-08,167806.14202936064,67814.16410165554
2025-07-09,168294.60307850607,68011.56198795112
2025-07-10,167912.5401426338,67857.16192656441
2025-07-11,167846.58805184488,67830.50923165397
2025-07-14,169827.73269167615,68631.13348825077
2025-07-15,169899.54529629785,68660.15454609458
2025-07-16,169130.78338485083,68349.48089739791
2025-07-17,168545.36795808192,68112.90160811538
2025-07-18,169575.21436204773,68529.08526023592
2025-07-21,169172.25083051974,68366.23880703973
2025-07-22,166529.98724168458,67298.44179766836
2025-07-23,169308.47407641308,68421.28962603689
2025-07-24,168835.77759966077,68230.26255124038
2025-07-25,169598.46830883666,68538.48269315755
2025-07-28,170342.64650427274,68839.22151985286
2025-07-29,171087.96106693553,69140.4195776148
2025-07-30,172411.35018274363,69675.23031567498
2025-07-31,172284.90272615745,69624.13010880847
2025-08-01,170208.71795489592,68785.09803834319
2025-08-04,173936.21399438524,70291.4614232184
2025-08-05,173271.11960458648,70022.6821071132
2025-08-06,170183.08136155433,68774.73772538413
2025-08-07,172522.26036892747,69720.05156879156
2025-08-08,173212.5092919561,69998.99638672953
2025-08-11,172928.15363071085,69884.08199061915
2025-08-12,176123.29461340047,71175.30895232431
2025-08-13,174865.64210560542,70667.06382783089
2025-08-14,172616.24834680077,69758.03418419529
2025-08-15,172005.48725349063,69511.2121518921
2025-08-18,173251.47836814297,70014.74465014509
2025-08-19,169511.39648783414,68503.29504932826
2025-08-20,169585.95764091844,68533.42685624378
2025-08-21,169074.68953308405,68326.81213436693
2025-08-22,171061.23411767845,69129.61862777507
2025-08-25,171196.1608791511,69184.14550881504
2025-08-26,172777.10947185406,69823.04171371723
2025-08-27,173667.53913068943,70182.88398334452
2025-08-28,175170.38396732399,70790.21673730908
2025-08-29,170736.51868546847,68998.39395780812
2025-09-02,171151.21708535665,69165.98273020114
2025-09-03,171217.7930010719,69192.88752652703
